None,content_type,title,director,cast,country,date_added,release_year,rating,duration,genres,description,date_added_formatted
s2727,Movie,hasee toh phasee,vinil mathew,"sidharth malhotra, parineeti chopra, adah sharma, manoj joshi, madhuri sanjeev, sharat saxena, nina kulkarni, anil mange",india,2020-04-01,2014,tv-14,2h 15m,"comedies, dramas, international movies","Nikhil is tasked with keeping his fiancée's troublemaking sister, Meeta, from ruining his wedding. But in the process, the two become inseparable.",01-04-2020
s2728,TV Show,how to fix a drug scandal,none,none,usa,2020-04-01,2020,tv-ma,1 Season,"crime tv shows, docuseries","Two drug lab chemists' shocking crimes cripple a state's judicial system and blur the lines of justice for lawyers, officials and thousands of inmates.",01-04-2020
s2729,Movie,humpty sharma ki dulhania,shashank khaitan,"varun dhawan, alia bhatt, ashutosh rana, sidharth shukla, sahil vaid, gaurav pandey, jaswant daman, kenneth desai, deepika amin, mahnaz damania",india,2020-04-01,2014,tv-14,2h 11m,"comedies, international movies, romantic movies",A small-town girl heads to Delhi to find a designer outfit for the wedding her orthodox father has arranged for her but ends up finding love instead.,01-04-2020
s2730,Movie,kaal,soham shah,"ajay devgn, vivek oberoi, john abraham, lara dutta, esha deol, vishal malhotra, kushal punjabi, vineet sharma",india,2020-04-01,2005,tv-14,2h 6m,"horror movies, international movies, thrillers","Trapped in a national park, a tiger expert and a group of hunters turn to an enigmatic local for help when they mysteriously begin to die one by one.",01-04-2020
s2731,Movie,kabhi alvida naa kehna,karan johar,"amitabh bachchan, shah rukh khan, abhishek bachchan, rani mukerji, preity zinta, kiron kher, arjun rampal",india,2020-04-01,2006,tv-14,3h 12m,"dramas, international movies, romantic movies","Unhappy in their respective marriages, an ex-footballer and a teacher find true love in each other, but guilt, jealousy and tragedy cloud their affair.",01-04-2020
s2732,Movie,kabhi khushi kabhie gham,karan johar,"amitabh bachchan, jaya bhaduri, shah rukh khan, kajol, hrithik roshan, kareena kapoor, rani mukerji, farida jalal, himani shivpuri, alok nath",india,2020-04-01,2001,tv-14,3h 29m,"dramas, international movies","Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",01-04-2020
s2733,Movie,kal ho naa ho,nikkhil advani,"shah rukh khan, saif ali khan, preity zinta, jaya bhaduri, sushma seth, reema lagoo, lillete dubey, delnaaz paul",india,2020-04-01,2003,tv-14,3h 7m,"comedies, dramas, international movies",An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.,01-04-2020
s2734,Movie,kapoor & sons,shakun batra,"rishi kapoor, sidharth malhotra, fawad khan, alia bhatt, ratna pathak shah, rajat kapoor",india,2020-04-01,2016,tv-14,2h 18m,"comedies, dramas, international movies","Returning home to visit their ill grandfather, two estranged brothers must confront their unresolved rivalry while their parents’ marriage frays.",01-04-2020
s2735,Movie,kuch kuch hota hai,karan johar,"shah rukh khan, kajol, rani mukerji, farida jalal, reema lagoo, salman khan, archana puran singh, himani shivpuri, johny lever, anupam kher, sana saeed",india,2020-04-01,1998,tv-14,3h 5m,"comedies, dramas, international movies","Per her mother’s last wish, a girl sets out to reunite her father with the college best friend who loved him – only to discover the woman is engaged.",01-04-2020
s2736,Movie,magnificent,vikas bahl,"shahid kapoor, alia bhatt, pankaj kapur, sanjay kapoor, sushma seth, niki walia, sanah kapur, vikas verma",india,2020-04-01,2015,tv-14,2h 23m,"comedies, international movies, romantic movies",An industrialist's daughter is forced to marry a rich heir by her greedy grandmother as her adopted sister bonds with the charismatic wedding planner.,01-04-2020
s2737,TV Show,man like mobeen,none,none,uk,2020-04-01,2020,tv-ma,3 Seasons,"british tv shows, international tv shows, tv comedies","Mobeen is trying to be a good friend, follow the faith and raise his teenage sister. Yet his past – and everyday life – complicates matters.",01-04-2020
s2738,Movie,mighty raju rio calling,"rajiv chilaka, anirban majumder, alka amarkant dubey",none,india,2020-04-01,2014,tv-y7,1h 37m,"children & family movies, sports movies","Mighty Raju preps for a new adventure in Rio de Janeiro, where he goes toe-to-toe with rival soccer players, faces capoeira fighters and more.",01-04-2020
s2739,Movie,muqaddar ka faisla,prakash mehra,"raaj kumar, rakhee gulzar, raj babbar, tina munim, pran, ranjeet, meenakshi sheshadri, akbar khan",india,2020-04-01,1987,tv-14,2h 52m,"action & adventure, comedies, dramas",God-fearing Pandit Krishna Kant loses everything and turns to a life of crime after his landlord tries to rape his wife and tears his family apart.,01-04-2020
s2740,TV Show,pokémon the series,none,"sarah natochenny, laurie hymes, jessica paquet, rosie reyes, alyson leigh rosenfeld, marc swint, rodger parsons",none,2020-04-01,2019,tv-y7,3 Seasons,"anime series, kids' tv","Ash and his Pikachu travel to the Alola region with his mother and enroll in the Pokémon school, where they confront the nefarious Team Skull.",01-04-2020
s2741,TV Show,saint seiya,none,"toru furuya, hirotaka suzuoki, ryo horikawa, koichi hashimoto, hideyuki hori, keiko han, yuriko yamamoto, kohei miyauchi, mami koyama",japan,2020-04-01,1986,tv-14,6 Seasons,anime series,A band of young warriors in magical armor vow to defend the reincarnation of Greek goddess Athena against evil forces and to return her to the throne.,01-04-2020
s2742,Movie,sethum aayiram pon,anand ravichandran,"nivedhithaa sathish, srilekha rajendran, avinash raghudevan, gabrella sellus, rathaa krishnan p., rajendran",india,2020-04-01,2020,tv-ma,1h 43m,"dramas, independent movies, international movies","Meeting after many years, a makeup artist and her grandmother revisit tensions from an old family feud that still hang heavy between them.",01-04-2020
s2743,TV Show,sunderland 'til i die,none,none,uk,2020-04-01,2020,tv-ma,2 Seasons,"british tv shows, docuseries, international tv shows",This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.,01-04-2020
s2744,TV Show,the iliza shlesinger sketch show,none,"ilana becker, kerry coddett, tarik davis, matthew dellapina, david ebert, stink fisher, iliana inocencio, iliza shlesinger",usa,2020-04-01,2020,tv-ma,1 Season,tv comedies,"From the mind of comedian Iliza Shlesinger comes a fun, irreverent mix of kooky characters, sly social commentary and pop culture gags.",01-04-2020
s2745,Movie,the little vampire,"richard claus, karsten kiilerich","matthew marsh, rasmus hardiker, miriam margolyes, tim pigott-smith, alice krige, amy saville, joseph kloska, diane wilson, phoebe givron-taylor, jim carter, sven de ridder","netherlands, germany, denmark, uk",2020-04-01,2017,tv-g,1h 23m,children & family movies,An American kid obsessed with the undead befriends and offers to help a young vampire whose family is being targeted by a merciless vampire hunter.,01-04-2020
s2746,Movie,the runaways,floria sigismondi,"kristen stewart, dakota fanning, michael shannon, stella maeve, scout taylor-compton, alia shawkat, riley keough, johnny lewis, tatum o'neal, brett cullen, hannah marks",usa,2020-04-01,2010,r,1h 47m,"dramas, independent movies, music & musicals","This biopic charts the rise of the rebellious California girls who formed the 1970s rock group the Runaways, paving the way for future girl musicians.",01-04-2020
s2747,TV Show,the windsors,none,"harry enfield, haydn gwynne, hugh skinner, louise ford, richard goulding, matthew cottle, morgana robinson, celeste dring, katy wix, ellie white",uk,2020-04-01,2020,tv-ma,3 Seasons,"british tv shows, international tv shows, tv comedies",The all-too-public trials and tribulations of England's royal family are reimagined as an over-the-top comedic soap opera.,01-04-2020
s2748,Movie,ungli,renzil d'silva,"emraan hashmi, randeep hooda, kangana ranaut, sanjay dutt, neha dhupia, angad bedi, neil bhoopalam, shraddha kapoor",india,2020-04-01,2014,tv-14,1h 54m,"comedies, dramas, international movies","An undercover cop finds himself in a strange position after infiltrating a ""gang"" that pulls wildly popular pranks on corrupt officials in Mumbai.",01-04-2020
s2749,TV Show,well-intended love,none,"xu kaicheng, simona wang, ian yi, huang qian shuo, yang hao ming, liu jia xi",china,2020-04-01,2020,tv-14,2 Seasons,"international tv shows, romantic tv shows, tv comedies","To secure a bone marrow donation, an actress diagnosed with leukemia makes a marriage pact with a young CEO – but love and secrets get in the way.",01-04-2020
s2750,Movie,wildling,fritz böhm,"bel powley, brad dourif, liv tyler, collin kelly-sordelet, james le gros",usa,2020-04-01,2018,r,1h 33m,"horror movies, independent movies, sci-fi & fantasy","Confined to an attic for years by a man claiming to be her protector, teenage Anna is liberated and begins learning the rest of her terrifying story.",01-04-2020
s2751,Movie,a truthful mother,ravishankar venkateswaran,"revathi, roger narayanan, sneha ravishankar, vidya shankar, sr leela",india,2020-03-31,2020,tv-y7,1h 25m,children & family movies,"Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children’s book and a Kannada folk song.",31-03-2020
s2752,TV Show,akbar birbal,none,"kiku sharda, vishal kotian, delnaaz irani",india,2020-03-31,2019,tv-g,1 Season,"kids' tv, tv comedies, tv dramas","From battles of wit to fights for justice, Emperor Akbar and his trusty advisor Birbal display their unique bond through adventures in Mughal-era India.",31-03-2020
s2753,TV Show,bal ganesh,vijay s. bhanushali,"meghna erande joshi, parminder ghumman",none,2020-03-31,2019,tv-y7,1 Season,kids' tv,"Watch Ganesh destroy demons, disarm invaders and defeat dacoits in this series based on the mythological Hindu elephant god’s childhood.",31-03-2020
s2754,Movie,dave chappelle: the kennedy center mark twain prize for american humor,none,none,usa,2020-03-31,2020,tv-ma,1h 25m,stand-up comedy,"Dave Chappelle is awarded the prestigious Mark Twain Prize for American Humor in a star-studded ceremony from the Kennedy Center in Washington, D.C.",31-03-2020
s2755,Movie,greater,david hunt,"neal mcdonough, leslie easterbrook, christopher severio, michael parks, nick searcy, peter gray lewis, fredric lehne, m.c. gainey, texas battle, josh emerson",usa,2020-03-31,2016,pg,2h 11m,"children & family movies, dramas, sports movies",Faith and determination transform a talentless football player at the University of Arkansas into an All-American in this inspiring true story.,31-03-2020
s2756,Movie,indian horse,stephen s. campanelli,"sladen peltier, forrest goodluck, ajuawak kapashesit, martin donovan, michael murphy, michiel huisman, edna manitowabi, michael lawrenchuk, will strongheart, tristen marty-pahtaykan, vance banzo",canada,2020-03-31,2017,tv-ma,1h 41m,"dramas, independent movies, sports movies","Stripped of his heritage at a residential school, an indigenous student finds refuge on the rink when he discovers a passion for hockey.",31-03-2020
s2757,Movie,paharganj,rakesh ranjan kumar,"lorena franco, bijesh jayarajan, neet chowdhary, rajeev gaursingh, karran jeet, rajesh sharma, gautam kurup, poonam mathur, salman khan, manish devkush",india,2020-03-31,2019,tv-ma,1h 47m,"dramas, independent movies, international movies","In the underbelly of a Delhi neighborhood, a woman’s search for her missing lover collides with drugs, death and a coach grappling with his demons.",31-03-2020
s2758,Movie,pretty little stalker,sam irvin,"nicky whelan, ashley rickards, parker mack, jesse hutch, sierra mccormick, heather morris, jason cermak, kourtney hansen, jane harber, cory hart, kim dejesus",usa,2020-03-31,2018,tv-14,1h 24m,thrillers,"When a self-help writer's advice goes wrong, she finds herself in the crosshairs of an obsessive young woman with a thirst for vengeance.",31-03-2020
s2759,Movie,through my father's eyes: the ronda rousey story,gary stretch,ronda rousey,"canada, usa",2020-03-31,2019,r,1h 44m,"documentaries, sports movies",This documentary chronicles former Olympian and UFC champion Ronda Rousey's ascent to iconic status in the world of mixed martial arts.,31-03-2020
s2760,TV Show,tree house tales,none,"renu sharda, sonal kaushal, shiney prakash, sumriddhi shukla",none,2020-03-31,2019,tv-y,1 Season,kids' tv,"From the virtue of politeness to the dangers of social media, life is full of valuable lessons for a group of friends navigating the journey of growing up.",31-03-2020
s2761,Movie,kannum kannum kollaiyadithaal,desingh periyasamy,"dulquer salmaan, ritu varma, rakshan, niranjani, gautham menon, anish kuruvilla",india,2020-03-29,2020,tv-14,2h 40m,"comedies, dramas, international movies","A carefree racing enthusiast’s womanizing ways end when he meets the girl of his dreams, but their newfound peace is disrupted by a dangerous killer.",29-03-2020
s2762,TV Show,rugal,none,"choi jin-hyuk, park sung-woong, cho dong-hyuk, jung hye-in, han ji-wan, park sun-ho, kim min-sang",south korea,2020-03-29,2020,tv-ma,1 Season,"crime tv shows, international tv shows, korean tv shows",A police detective who loses everything to a criminal organization seeks payback when he gains special abilities through biotechnology.,29-03-2020
s2763,Movie,rogue warfare,mike gunther,"will yun lee, jermaine love, rory markham, bertrand-xavier corbi, katie keene, fernando chien, gina decesare, michael blalock, chris mulkey, stephen lang",usa,2020-03-28,2019,r,1h 43m,action & adventure,An elite international squad of uniquely skilled special forces is assembled to combat a rising underground terrorist threat in the Middle East.,28-03-2020
s2764,Movie,dragons: rescue riders: hunt for the golden dragon,"tj sullivan, greg rankin","noah kaye bentley, brennley brown, zach callison, nicolas cantu, skai jackson, marsai martin, andre robinson, carlos alazraqui, jeff bennett, grey griffin, mary elizabeth mcglynn",usa,2020-03-27,2020,tv-y,46m,"children & family movies, comedies","It's the treasure hunt of a lifetime for the Rescue Riders, who must race to find a precious golden dragon egg and protect it from evil pirates.",27-03-2020
s2765,TV Show,happy!,none,"christopher meloni, lili mirojnick, glenn wein, patrick fischler, toby jaffe, ritchie coster, grant morrison, pavun shetty, medina senghore, patton oswalt",usa,2020-03-27,2019,tv-ma,2 Seasons,"crime tv shows, tv action & adventure, tv comedies",A boozy ex-cop turned hit man thinks he's losing his marbles when a cartoon unicorn only he can see urges him to rescue a girl kidnapped by Santa.,27-03-2020
s2766,TV Show,ladies up,none,"prashasti singh, kaneez surka, niveditha prakasam, supriya joshi",india,2020-03-27,2019,tv-ma,1 Season,"international tv shows, stand-up comedy & talk shows, tv comedies","Rising India-based comics Prashasti Singh, Kaneez Surka, Supriya Joshi and Niveditha Prakasam bring no-holds-barred humor to this stand-up series.",27-03-2020
s2767,Movie,maska,neeraj udhwani,"manisha koirala, prit kamani, shirley setia, nikita dutta, javed jaffrey, dhruv lohumi",india,2020-03-27,2020,tv-ma,1h 52m,"comedies, dramas, international movies","Determined to make it in showbiz, an aspiring young actor considers turning his back on the beloved Irani café run by his family for generations.",27-03-2020
s2768,TV Show,ozark,none,"jason bateman, sofia hublitz, laura linney, skylar gaertner, jason butler harner, esai morales, peter mullan, lisa emery",usa,2020-03-27,2020,tv-ma,3 Seasons,"crime tv shows, tv dramas, tv thrillers","A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",27-03-2020
s2769,Movie,the decline,patrice laliberté,"guillaume laurin, marie-evelyne lessard, réal bossé, marc-andré grondin, marc beaupré, marilyn castonguay, guillaume cyr, isabelle giroux, juliette maxyme proulx",canada,2020-03-27,2020,tv-ma,1h 23m,"action & adventure, international movies",An accident at a remote training camp leaves a group of survivalists bitterly divided — and caught in a brutal fight for their lives.,27-03-2020
s2770,Movie,there's something in the water,"ellen page, ian daniel",ellen page,canada,2020-03-27,2019,tv-14,1h 12m,"documentaries, international movies",This documentary spotlights the struggle of minority communities in Nova Scotia as they fight officials over the lethal effects of industrial waste.,27-03-2020
s2771,Movie,true: wuzzle wegg day,"todd kauffman, mark thornton","michela luci, jamie watson, eric peterson, anna claire bartlam, nicolas aqui, cory doran, julie lemieux",canada,2020-03-27,2020,tv-y,24m,children & family movies,"Spring has sprung in Rainbow City, and Wuzzle Wegg Day is right around the corner! But Bartleby's convinced that a Wegg-stealing monster is on the loose.",27-03-2020
s2772,Movie,uncorked,prentice penny,"mamoudou athie, courtney b. vance, niecy nash, sasha compère, bernard d. jones, gil ozeri, matt mcgorry, meera rohit kumbhani",usa,2020-03-27,2020,tv-ma,1h 44m,"dramas, independent movies",A young man feels torn between his dream of becoming a master sommelier and his father’s expectations that he’ll take over the family barbecue business.,27-03-2020
s2773,TV Show,wassup man go!,none,joon park,none,2020-03-27,2020,tv-ma,1 Season,"international tv shows, korean tv shows, reality tv","Famously unfiltered star Joon Park goes to Los Angeles for an audition – and for a colorful, totally personal romp through the city he calls home.",27-03-2020
s2774,Movie,willy and the guardians of the lake: tales from the lakeside winter adventure,zsolt pálfi,"csongor szalay, anna kubik, sári vida, andrás faragó, róbert bolla",hungary,2020-03-27,2019,tv-y,1h 12m,children & family movies,"As winter approaches the lake, a common threat rattles the Verdies and Grimps as Willy Whistle looks to seize his chance to become a guardian.",27-03-2020
s2775,TV Show,7seeds,none,"nao toyama, jun fukuyama, katsuyuki konishi, yoko soumi, kana asumi, akira ishida, aoi yuki, kazuhiko inoue, yoko hikasa, hirofumi nojima, ryotaro okiayu, eri kitamura, mamiko noto, ryo hirohashi, shizuka ito, hisao egawa, mayumi asano, kenta miyake, ai kakuma, kaito ishikawa, mikako komatsu, daisuke sakaguchi, takanori hoshino, kenjiro tsuda, nozomu sasaki, kenji nojima, houko kuwashima, kensho ono, takahiro sakurai, haruka chisuga, yu shimamura, takuma terashima, takuya sato, junko minagawa, masashi sugawara, sho hayami, kazuyuki okitsu, minako kotobuki",none,2020-03-26,2020,tv-ma,2 Seasons,"anime series, international tv shows","Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",26-03-2020
s2776,Movie,happy old year,nawapol thamrongrattanarit,"chutimon chuengcharoensukying, sunny suwanmethanont, sarika sartsilpsupa, thirawat ngosawang, apasiri nitibhon, patcha kitchaicharoen",thailand,2020-03-26,2019,tv-ma,1h 53m,"dramas, international movies, romantic movies","While decluttering her home, a woman’s hefty house renovation leads her back to the past when she uncovers her ex-boyfriend’s belongings.",26-03-2020
s2777,Movie,making unorthodox,marlene melchior,none,germany,2020-03-26,2020,tv-g,21m,"documentaries, international movies",A look at the making of one of the first series to authentically portray and explore issues in a Hasidic community as they pertain to women's lives.,26-03-2020
s2778,TV Show,unorthodox,none,"shira haas, amit rahav, jeff wilbusch, alex reid, ronit asheri, delia mayer, dina doronne, david mandelbaum, yousef sweid, dennenesch zoudé, isabel schosnig, aaron altaras, tamar amit-joseph, safinaz sattar, langston uibel, aziz dyab",germany,2020-03-26,2020,tv-ma,1 Season,"international tv shows, tv dramas",A Hasidic Jewish woman in Brooklyn flees to Berlin from an arranged marriage and is taken in by a group of musicians — until her past comes calling.,26-03-2020
s2779,Movie,bethany hamilton: unstoppable,aaron lieber,bethany hamilton,usa,2020-03-25,2019,pg,1h 40m,"children & family movies, documentaries, sports movies",This documentary follows the rising tide of Bethany Hamilton who lost her arm as a teen before making waves in pro surfing and her personal life.,25-03-2020
s2780,Movie,crip camp: a disability revolution,none,none,usa,2020-03-25,2020,r,1h 48m,documentaries,"A groundbreaking summer camp galvanizes a group of teens with disabilities to help build a movement, forging a new path toward greater equality.",25-03-2020
s2781,Movie,curtiz,tamas yvan topolanszky,"ferenc lengyel, evelin dobos, declan hannigan, scott alexander young, józsef gyabronka, nikolett barabas, yan feldman, rafael feldman, christopher krieg, andrew hefler, lili bordán",hungary,2020-03-25,2018,tv-ma,1h 39m,"dramas, international movies","Driven and arrogant, film director Michael Curtiz deals with studio politics and family drama during the troubled production of ""Casablanca"" in 1942.",25-03-2020
s2782,Movie,the occupant,"àlex pastor, david pastor","javier gutiérrez, mario casas, bruna cusí, ruth díaz",spain,2020-03-25,2020,tv-ma,1h 44m,"independent movies, international movies, thrillers",An unemployed advertising executive begins stalking the new tenants of his former home and his motives toward the family turn sinister.,25-03-2020
s2783,Movie,tom segura: ball hog,rami hachache,tom segura,usa,2020-03-24,2020,tv-ma,1h 10m,stand-up comedy,"Tom Segura scores laughs with uncomfortably candid stories about mothers, fathers, following your dreams — and other things you'd rather not think about.",24-03-2020
s2784,TV Show,freud,none,"robert finster, ella rumpf, georg friedrich, christoph krutzler, brigitte kren, anja kling, philipp hochmair","austria, germany",2020-03-23,2020,tv-ma,1 Season,"crime tv shows, international tv shows, tv dramas","Eager to make his name in 19th-century Vienna, a hungry young Sigmund Freud joins a psychic and an inspector to solve a string of bloody mysteries.",23-03-2020
s2785,TV Show,j-style trip,none,"jay chou, jam hsiao, jj lin, will tsai, chen chien-chou, funky tu, norman chen","taiwan, china",2020-03-22,2020,tv-14,1 Season,"international tv shows, reality tv",Megastar Jay Chou joins his A-list friends in this globe-trotting variety show packed with music and magic tricks.,22-03-2020
s2786,TV Show,barbie dreamhouse adventures: go team roberts,none,"america young, kirsten day, cassandra morris, cassidy naber, emma galvin, stephanie sheh, desirae whitfield, cristina milizia, lisa fuson, greg chun, ritesh rajan, eamon brennan",none,2020-03-21,2020,tv-y,2 Seasons,kids' tv,"As the Roberts family heads to Costa Rica to investigate a mermaid legend, Barbie takes on a summer job at a water park run by a devious boss.",21-03-2020
s2787,Movie,a life of speed: the juan manuel fangio story,francisco macri,none,argentina,2020-03-20,2020,tv-14,1h 33m,"documentaries, international movies, sports movies","Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used.",20-03-2020
s2788,TV Show,archibald's next big thing,none,"tony hale, rosamund pike, jordan fisher, chelsea kane, adam pally, kari wahlgren",none,2020-03-20,2020,tv-y7,2 Seasons,"kids' tv, tv comedies","Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",20-03-2020
s2789,TV Show,dino girl gauko,none,"naoko matsui, hiroshi kamiya, kazue ikura, chafurin, chie kojiro, mari mashiba, ryoko shiraishi, hidekatsu shibata, tadashi miyazawa, sonosuke hattori, karen, yui toita, izu konishi, eri ozaki, risa nakamura, tomoyo chujo, takuro hijioka, sawako yoshida, chika okubo, yuri fujiwara, tomomi yamakawa, hikaru yuki, miyako kobayashi, mutsuki arisawa, koharu nogata, tomoka kuzutani, madoka yokoyama, madoka hiraide, ayako takamura, yuki arimoto, yuto kazama, arisa takami, chika sakamoto","usa, japan",2020-03-20,2020,tv-y7,2 Seasons,"anime series, kids' tv","When she gets angry, middle schooler Naoko turns into fierce dinosaur Gauko! Thanks to friends, aliens and more, her life is full of wacky incidents.",20-03-2020
s2790,Movie,el silencio es bienvenido,gabriela garcía rivas,"eileen yáñez, jorge luis moreno, daniela newton, andrea newton, luis eduardo yee, enrique medina, roberto fiesco",mexico,2020-03-20,2017,tv-14,1h 35m,"dramas, independent movies, international movies","As a teen languishes during a spiritless road trip, she learns of the troubles in her parents' marriage as a crisis in her country looms.",20-03-2020
s2791,TV Show,greenhouse academy,none,"ariel mortman, finn roberts, chris o'neal, dallas hart, cinthya carmona, grace van dien, benjamin papac, jessica amlee, bj mitchell, aviv buchler, nadine ellis, yiftach mizrahi, parker stevenson, ishai golan, selina giles, reina hardesty",usa,2020-03-20,2020,tv-pg,4 Seasons,"kids' tv, tv dramas, teen tv shows","When teen siblings Hayley and Alex enter an elite boarding school, they find rivalry, romance and a mystery related to the recent loss of their mom.",20-03-2020
s2792,TV Show,self made: inspired by the life of madam c.j. walker,none,"octavia spencer, tiffany haddish, carmen ejogo, blair underwood, garrett morris, kevin carroll",usa,2020-03-20,2020,tv-ma,1 Season,tv dramas,An African American washerwoman rises from poverty to build a beauty empire and become the first female self-made millionaire. Based on a true story.,20-03-2020
s2793,TV Show,she,none,"aaditi pohankar, vijay varma, vishwas kini, kishore kumar g., shivani rangole, suhita thatte, sandeep dhabale, saqib ayub",india,2020-03-20,2020,tv-ma,1 Season,"crime tv shows, international tv shows, tv dramas",An undercover assignment to expose a drug ring becomes a timid Mumbai constable’s road to empowerment as she realizes her dormant sexuality's potential.,20-03-2020
s2794,TV Show,the english game,none,"edward holcroft, kevin guthrie, charlotte hope, niamh walsh, craig parkinson, james harkness, ben batt, gerard kearns, henry lloyd-hughes",uk,2020-03-20,2020,tv-14,1 Season,"british tv shows, international tv shows, tv dramas",Two 19th-century footballers on opposite sides of a class divide navigate professional and personal turmoil to change the game — and England — forever.,20-03-2020
s2795,TV Show,the letter for the king,none,"amir wilson, ruby ashbourne serkis, thaddea graham, islam bouakkaz, jonah lees, jack barton, nathanael saleh, emilie cocquerel, gijs blom, kemi-bo jacobs, david wenham, omid djalili, peter ferdinando",uk,2020-03-20,2020,tv-pg,1 Season,"british tv shows, international tv shows, tv action & adventure","A young knight in training contends with ancient prophecies, magical powers and fickle companions as he sets out on an epic quest to save his kingdom.",20-03-2020
s2796,TV Show,"tiger king: murder, mayhem and madness","eric goode, rebecca chaiklin",none,usa,2020-03-20,2020,tv-ma,1 Season,"crime tv shows, docuseries",A zoo owner spirals out of control amid a cast of eccentric characters in this true murder-for-hire story from the underworld of big cat breeding.,20-03-2020
s2797,Movie,ultras,francesco lettieri,"aniello arena, antonia truppo, ciro nacca, simone borelli, daniele vicorito, salvatore pelliccia",italy,2020-03-20,2020,tv-ma,1h 49m,"dramas, international movies, sports movies",An aging soccer fanatic faces down the reality of his past while struggling to give himself and a young follower very different futures.,20-03-2020
s2798,TV Show,vampires,none,"oulaya amamra, suzanne clément, kate moran, mounir amamra, aliocha schneider, juliette cardinski, pierre lottin, dylan robert, bilel chegrani, antonia buresi, marilu marini, ayumi roux",france,2020-03-20,2020,tv-ma,1 Season,"international tv shows, tv dramas, tv horror","A Paris teen who's half human, half vampire grapples with her emerging powers and family turmoil as she's pursued by a secret vampire community.",20-03-2020
s2799,Movie,3022,john suits,"omar epps, kate walsh, miranda cosgrove, angus macfadyen, jorja fox, enver gjokaj, haaz sleiman",usa,2020-03-19,2019,r,1h 31m,"independent movies, sci-fi & fantasy, thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",19-03-2020
s2800,Movie,altered carbon: resleeved,"takeru nakajima, yoshiyuki okada","tatsuhisa suzuki, rina satou, ayaka asai, jouji nakata, kenji yamauchi, kanehira yamamoto, koji ishii","japan, usa",2020-03-19,2020,tv-ma,1h 15m,"action & adventure, anime features, international movies","On the planet Latimer, Takeshi Kovacs must protect a tattooist while investigating the death of a yakuza boss alongside a no-nonsense CTAC.",19-03-2020
s2801,Movie,masameer - the movie,malik nejer,"malik nejer, shahad alahmari, abdulaziz almuzaini, yousef aldakheel",saudi arabia,2020-03-19,2020,tv-14,1h 40m,"comedies, international movies",A young girl passionate about AI sets out to make an impact as three friends become crime-fighting superheroes. Based on the hit animated web series.,19-03-2020
s2802,Movie,alli wish,susan walter,"sharon stone, tony goldwyn, liza lapira, ellen burstyn, jason gibson, famke janssen, caitlin fitzgerald, gilles marini, erica ash, tom paolino",usa,2020-03-18,2017,r,1h 35m,"dramas, romantic movies","Over a series of birthdays, a happy-go-lucky, commitment-averse fashion designer strives to bring a bit of calm to her chaotic love life.",18-03-2020
s2803,TV Show,caliphate,none,"aliette opheim, gizem erdogan, amed bozan, albin grenholm, nora rios, yussra el abdouni, amanda sohrabi, lancelot ncube, simon mezher, ala riani",sweden,2020-03-18,2020,tv-ma,1 Season,"international tv shows, tv dramas","An impending ISIS attack on Sweden entangles a group of women, including a mother in a bind, a spirited student and an ambitious cop.",18-03-2020
s2804,Movie,lu over the wall,masaaki yuasa,"kanon tani, shota shimoda, shinichi shinohara, akira emoto, soma saito, minako kotobuki, daigo, nobu",japan,2020-03-18,2017,pg,1h 53m,"anime features, music & musicals, sci-fi & fantasy",Middle schooler Kai's depressing life in a boring fishing village changes drastically when a local mermaid named Lu joins his band.,18-03-2020
s2805,TV Show,women of the night,none,"karina smulders, susan radder, hilde van mieghem, thijs römer, matteo van der grijn, daphne wellens, steef de bot, isis cabolet, dragan bakema, saman amini, roeland fernhout, anne-laure vandeputte",netherlands,2020-03-18,2019,tv-ma,1 Season,"crime tv shows, international tv shows, tv dramas","Haunted by a shadowy past, the wife of a rising star in Amsterdam's mayoral office finds herself drawn into the city’s underworld of sex and drugs.",18-03-2020
s2806,Movie,xv: beyond the tryline,pierre deschamps,none,uk,2020-03-18,2016,tv-14,1h 31m,"documentaries, sports movies","Set against the 2015 Rugby World Cup, this documentary captures the allure of rugby as told by fans, players and others who have touched the game.",18-03-2020
s2807,Movie,bert kreischer: hey big boy,jeff tomsic,bert kreischer,usa,2020-03-17,2020,tv-ma,1h 2m,stand-up comedy,"Ever the stand-up party animal, comic Bert Kreischer riffs on parenting and family life, being a gun and pet owner, his dad discovering pot, and more.",17-03-2020
